Cell_area_measured,Cell_number_of_cells_per_substrate,Module_number_of_cells_in_module,ETL_thickness,Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_thickness,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,Backcontact_thickness_list,Add_lay_front,Add_lay_back,Encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_light_intensity,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE,JV_forward_scan_Voc,JV_forward_scan_Jsc,JV_forward_scan_FF,JV_forward_scan_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Stability_relative_humidity_average_value,Stability_time_total_exposure,Stability_PCE_T80,Cell_stack_sequence,Cell_architecture,Cell_flexible,Cell_semitransparent,Module,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_a_ions,Perovskite_composition_b_ions,Perovskite_composition_c_ions,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_additives_compounds,Perovskite_band_gap_estimation_basis,Perovskite_pl_max,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_deposition_procedure,JV_test_atmosphere,JV_light_spectra,JV_light_wavelength_range,JV_light_masked_cell,JV_default_Voc_scan_direction,JV_default_Jsc_scan_direction,JV_default_FF_scan_direction,JV_default_PCE_scan_direction
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,95.0,40.0,0.0,80.0,0.0,0.0,0.0,True,12,100.0,100.0,0.98,19.76,0.69,13.3,1.05,21.8,0.6955,15.6,0.98,19.76,0.69,13.3,37.5,200.0,160.0,333.9394544222968,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,345.1763187985227,314.72213297532664,342.009031169516,359.86236194826745,333.9394544222968,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,95.0,40.0,0.0,80.0,0.0,0.0,0.0,True,12,100.0,100.0,1.03,20.58,0.71,15.01,1.05,21.8,0.6955,15.6,1.03,20.58,0.71,15.01,37.5,200.0,160.0,187.73185275128645,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,345.1763187985227,314.72213297532664,342.009031169516,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,130.0,60.0,0.0,80.0,0.0,0.0,0.0,True,20,100.0,100.0,0.8859999999999999,25.5,0.679,15.34,1.05,21.8,0.6955,15.6,0.8859999999999999,25.5,0.679,15.34,0.0,1920.0,1920.0,562.9303693011731,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,562.9303693011731,418.0429737657194,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,562.9303693011731,371.0589672400146,345.1763187985227,347.52600810789215,722.7110215418388,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.12,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.5,0.0,0.0,400.0,1.6,False,1.0,1.0,100.0,30.0,0.0,120.0,0.0,0.0,0.0,True,2,100.0,100.0,1.139,21.86,0.773,19.24,1.068,21.86,0.7,16.35,1.139,21.86,0.773,17.3,37.5,1440.0,960.0,267.3730465842549,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,377.86626208602274,359.66301289063057,441.4431214882308,376.23144261281027,438.0262339126951,325.78971825348646,409.25184994212935,367.6629103537331,361.4192568467163,371.0589672400146,345.1763187985227,407.4073650609664,407.2165256647642,404.17541628380314,350.32356970934876,428.6169162292816,346.2806778141787,281.1486808543488,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,382.3100695123624
0.096,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,80.0,10.0,0.0,100.0,0.0,0.0,0.0,True,8,100.0,30.0,1.022,19.02,0.598,10.94,1.05,21.8,0.6955,15.6,1.022,19.02,0.598,10.94,40.0,100.0,80.0,370.62448346858946,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,216.03628494277794,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,325.78971825348646,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,334.5022160752271,283.6176903531729,307.03562355719407,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.096,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,80.0,10.0,0.0,100.0,0.0,0.0,1.0,True,8,100.0,30.0,1.01,19.0,0.64,12.0,1.05,21.8,0.6955,15.6,1.01,19.0,0.64,12.0,40.0,300.0,300.0,370.62448346858946,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,216.03628494277794,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,325.78971825348646,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,334.5022160752271,283.6176903531729,307.03562355719407,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.108,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,100.0,25.0,0.0,80.0,0.0,0.0,0.0,True,2,100.0,100.0,0.91,16.05,0.4,5.83,0.84,15.22,0.43,5.49,0.91,16.05,0.4,5.83,20.0,300.0,94.0,325.352295114339,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,285.9112467794473,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,345.1763187985227,283.6176903531729,307.03562355719407,359.86236194826745,325.352295114339,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.108,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,100.0,25.0,0.0,80.0,0.0,0.0,0.0,True,2,100.0,100.0,0.93,16.37,0.56,8.28,0.89,15.97,0.53,7.54,0.93,16.37,0.56,8.28,20.0,300.0,96.0,325.61251206306497,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,285.9112467794473,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,345.1763187985227,283.6176903531729,307.03562355719407,359.86236194826745,325.61251206306497,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.108,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,100.0,25.0,0.0,80.0,0.0,0.0,0.0,True,2,100.0,100.0,0.95,19.78,0.57,10.73,0.92,18.16,0.54,9.02,0.95,19.78,0.57,10.73,20.0,300.0,97.0,325.74262053742797,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,285.9112467794473,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,345.1763187985227,283.6176903531729,307.03562355719407,359.86236194826745,325.74262053742797,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.108,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,2.0,0.0,100.0,25.0,0.0,80.0,0.0,0.0,0.0,True,2,100.0,100.0,0.99,20.72,0.64,13.22,0.98,20.08,0.62,12.21,0.99,20.72,0.64,13.22,20.0,300.0,99.0,326.00283748615396,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,285.9112467794473,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,321.05068793732556,326.5106949291719,345.1763187985227,283.6176903531729,307.03562355719407,359.86236194826745,326.00283748615396,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
