Cell_area_measured,Cell_number_of_cells_per_substrate,Module_number_of_cells_in_module,ETL_thickness,Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_thickness,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,Backcontact_thickness_list,Add_lay_front,Add_lay_back,Encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_light_intensity,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE,JV_forward_scan_Voc,JV_forward_scan_Jsc,JV_forward_scan_FF,JV_forward_scan_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_hysteresis_index,Stability_relative_humidity_average_value,Stability_time_total_exposure,Stability_PCE_T80,Cell_stack_sequence,Cell_architecture,Cell_flexible,Cell_semitransparent,Module,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_a_ions,Perovskite_composition_b_ions,Perovskite_composition_c_ions,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_additives_compounds,Perovskite_band_gap_estimation_basis,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_deposition_procedure,JV_test_atmosphere,JV_light_spectra,JV_light_wavelength_range,JV_light_masked_cell,JV_default_Voc_scan_direction,JV_default_Jsc_scan_direction,JV_default_FF_scan_direction,JV_default_PCE_scan_direction
0.09,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,80.0,3.5,0.0,100.0,0.0,0.0,0.0,True,30,100.0,100.0,1.04,20.83,0.763,16.53,1.039,20.945,0.73,15.325,1.04,20.83,0.763,16.53,0.061403340988090555,45.0,3024.0,288.0,348.24167423640586,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,348.24167423640586,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,337.9218556034141,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,213.66530177249186,409.71235202343075,355.93954097538415,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.04,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,2.0,0.0,150.0,150.0,0.0,100.0,0.0,0.0,0.0,True,20,100.0,100.0,0.97,18.22,0.768,13.51,0.95,18.55,0.753,13.33,0.97,18.22,0.768,13.51,0.074570995,30.0,500.0,100.0,469.7040950255754,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,307.76866134891793,313.31989343430473,320.7604768800632,313.31989343430473,433.7804871604422,433.444337568111,348.97459600084943,419.51980899885496,369.6952329059829,365.0123520849844,359.4077933579336,356.0397346462044,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.04,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,2.0,0.0,150.0,150.0,0.0,100.0,0.0,0.0,0.0,True,20,100.0,100.0,1.02,21.12,0.774,16.72,1.02,22.17,0.735,16.68,1.02,21.12,0.774,16.72,0.1080659961826459,30.0,500.0,100.0,323.7812810561623,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,307.76866134891793,313.31989343430473,320.7604768800632,313.31989343430473,433.7804871604422,433.444337568111,323.7812810561623,419.51980899885496,369.6952329059829,365.0123520849844,359.4077933579336,356.0397346462044,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.057,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,2.0,0.0,90.0,65.0,0.0,90.0,0.0,0.0,0.0,True,1,100.0,100.0,1.09,21.12,0.804,18.52,1.039,20.945,0.73,15.325,1.09,21.12,0.804,18.52,0.061403340988090555,60.0,2160.0,2160.0,375.15058992862845,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,431.57381980802404,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,591.8047382439379,306.7642541254384,436.75971703958174,417.2058695257287,333.48000585268915,422.47047464936446,433.7804871604422,433.444337568111,289.9775900454918,437.66019294179426,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.067,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,3.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,50.0,0.9,15.0,0.7,11.2,1.039,20.945,0.73,15.325,0.9,15.0,0.7,11.2,0.061403340988090555,60.0,600.0,600.0,447.2929272096892,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,346.28614334472513,318.4299561763053,388.83551823766123,274.49137342147293,348.97459600084943,304.89381333333336,404.706418877277,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.09,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,0.32,1.0,1.5,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,40.0,0.0,120.0,0.0,0.0,0.0,True,1,100.0,100.0,1.1,22.16,0.759,18.48,1.039,20.945,0.73,15.325,1.1,22.16,0.759,20.46,0.061403340988090555,50.0,720.0,720.0,404.44853516122095,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,431.57381980802404,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,294.32312367652185,369.62085242718445,331.87284861893477,297.368598743063,404.44853516122095,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,346.28614334472513,522.5709691358024,580.1418343274647,338.38978862431384,404.44853516122095,304.89381333333336,256.4688713739055,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,406.0569343178435
0.05,0.0,0.0,21.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,350.0,1.6,False,1.0,0.0,70.0,5.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,30.0,1.08,20.75,0.745,16.65,1.08,20.72,0.7440000000000001,16.64,1.08,20.75,0.745,15.89,0.003396549,30.0,2400.0,2400.0,405.6876786625961,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,683.7632142550395,509.76876767175816,668.4490926323945,386.0062361884125,358.3265523978685,623.0307720910573,369.62085242718445,364.52665052631573,623.0307720910573,623.0307720910573,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,495.9960333040302,318.4299561763053,434.86452378480635,433.444337568111,348.97459600084943,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,406.0569343178435
0.1,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,20.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,100.0,0.91,19.66,0.629,11.26,0.91,18.74,0.57,9.72,0.91,19.66,0.629,11.26,0.3411020992053944,55.0,500.0,350.0,356.22324310518513,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,373.5061576437572,377.66230173302546,274.49137342147293,347.8026468413939,335.74417152312594,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.1,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,20.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,100.0,0.94,20.03,0.664,12.51,0.94,19.67,0.644,11.91,0.94,20.03,0.664,12.51,0.1028192788692128,55.0,500.0,350.0,356.22324310518513,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,373.5061576437572,377.66230173302546,274.49137342147293,347.8026468413939,335.74417152312594,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.1,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,1.0,100.0,10.0,0.0,120.0,0.0,0.0,0.0,True,1,100.0,100.0,0.995,21.6,0.784,16.98,1.039,20.945,0.73,15.325,0.995,21.6,0.784,16.98,0.061403340988090555,25.0,15.0,6.0,323.1653755581744,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,213.66530177249186,409.71235202343075,324.5990762245398,328.35877492064566,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
